"동별(1)",동별(2),동별(3),2025 2/4,2025 2/4,2025 2/4
"동별(1)",동별(2),동별(3),전체평균연령,남자,여자
"합계",소계,소계,45.1,44.3,45.9
"합계",종로구,소계,46.8,46.2,47.3
"합계",종로구,사직동,47.1,46.9,47.2
"합계",종로구,삼청동,50.1,48.9,51.3
"합계",종로구,부암동,47.3,45.7,48.7
"합계",종로구,평창동,47.2,46.0,48.2
"합계",종로구,무악동,45.3,45.2,45.4
"합계",종로구,교남동,44.7,43.8,45.4
"합계",종로구,가회동,48.5,46.9,49.9
"합계",종로구,종로1.2.3.4가동,50.4,51.4,48.8
"합계",종로구,종로5.6가동,46.5,47.3,45.7
"합계",종로구,이화동,45.5,45.2,45.8
"합계",종로구,창신1동,51.9,51.3,52.4
"합계",종로구,창신2동,51.9,50.6,53.3
"합계",종로구,창신3동,48.0,47.1,48.9
"합계",종로구,숭인1동,49.0,47.9,50.0
"합계",종로구,숭인2동,44.6,45.7,43.5
"합계",종로구,청운효자동,45.8,44.3,47.1
"합계",종로구,혜화동,43.0,41.8,44.1
"합계",중구,소계,47.0,46.4,47.6
"합계",중구,소공동,42.7,43.7,41.9
"합계",중구,회현동,52.1,52.2,51.9
"합계",중구,명동,51.6,49.0,53.3
"합계",중구,필동,45.7,45.4,46.0
"합계",중구,장충동,43.8,42.6,45.2
"합계",중구,광희동,45.8,46.3,45.4
"합계",중구,을지로동,44.5,46.0,42.7
"합계",중구,신당5동,46.7,46.3,47.0
"합계",중구,황학동,44.1,43.9,44.2
"합계",중구,중림동,44.9,44.7,45.1
"합계",중구,신당동,47.7,48.1,47.3
"합계",중구,다산동,48.1,46.9,49.2
"합계",중구,약수동,49.5,48.0,50.8
"합계",중구,청구동,47.9,46.5,49.1
"합계",중구,동화동,47.7,46.6,48.6
"합계",용산구,소계,45.4,44.7,46.0
"합계",용산구,후암동,46.3,44.8,47.6
"합계",용산구,용산2가동,48.1,46.3,49.7
"합계",용산구,남영동,50.8,52.1,48.7
"합계",용산구,원효로2동,45.2,45.0,45.3
"합계",용산구,효창동,43.7,43.0,44.3
"합계",용산구,용문동,46.3,45.3,47.3
"합계",용산구,이촌1동,44.1,42.9,45.1
"합계",용산구,이촌2동,47.9,46.4,49.2
"합계",용산구,이태원1동,48.4,46.7,50.0
"합계",용산구,이태원2동,46.8,45.2,48.3
"합계",용산구,서빙고동,45.2,44.0,46.3
"합계",용산구,보광동,49.9,47.3,52.4
"합계",용산구,청파동,45.1,45.3,44.9
"합계",용산구,원효로1동,41.2,41.3,41.2
"합계",용산구,한강로동,43.8,44.0,43.7
"합계",용산구,한남동,45.4,44.5,46.1
"합계",성동구,소계,44.9,44.1,45.6
"합계",성동구,왕십리2동,44.7,44.1,45.3
"합계",성동구,마장동,45.3,44.4,46.2
"합계",성동구,사근동,38.4,37.5,39.5
"합계",성동구,행당1동,43.9,43.3,44.3
"합계",성동구,행당2동,45.1,44.4,45.6
"합계",성동구,응봉동,44.7,43.6,45.7
"합계",성동구,금호1가동,45.7,44.5,46.9
